[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]
[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]
[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]
[0, 0, 0, 0, 1, 1, 1, 1, 1, 0]
[0, 1, 0, 1, 1, 0, 0, 0, 0, 1]
[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]
[0, 1, 0, 0, 0, 1, 0, 1, 1, 0]
[1, 0, 1, 0, 0, 1, 0, 1, 1, 1]
[0, 0, 1, 1, 1, 0, 0, 0, 1, 1]
__________________________
[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]
[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]
[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]
[1, 0, 0, 1, 1, 1, 1, 1, 1, 0]
[1, 0, 1, 1, 1, 1, 1, 0, 0, 0]
[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]
[1, 1, 0, 1, 0, 1, 0, 1, 0, 0]
[1, 1, 0, 1, 1, 0, 0, 1, 1, 1]
[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]
__________________________
[0, 1, 1, 0, 0, 0, 0, 1, 0, 1]
[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]
[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]
[1, 0, 1, 0, 1, 1, 1, 0, 1, 0]
[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]
[1, 1, 0, 1, 0, 1, 1, 0, 1, 1]
[1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]
__________________________
[0, 1, 1, 1, 1, 0, 1, 1, 1, 0]
[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]
[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]
[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]
[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1, 0, 0]
[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]
[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]
[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]
__________________________
[1, 1, 1, 0, 1, 0, 1, 0, 1, 1]
[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]
[0, 1, 1, 0, 1, 1, 0, 0, 1, 0]
[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]
[1, 0, 1, 0, 0, 1, 0, 0, 1, 1]
[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]
[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 0, 0, 0, 0, 0, 0]
[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]
__________________________
[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]
[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]
[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]
[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]
[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]
[1, 0, 1, 0, 0, 0, 1, 1, 1, 1]
[0, 0, 0, 1, 0, 1, 1, 0, 0, 1]
[1, 1, 0, 1, 0, 0, 1, 1, 1, 0]
[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]
__________________________
